KS_C_5601-1987
,, This file has a single-column lookup key
,,
,, AWMessagesList
,,
ErrorMessage, "오류: {0}", generic error message printed *usually* at the top of the page. The argument #0 is a localized string
AlertMessage, "경고: {0}", generic warning message printed *usually* at the top of the page. The argument #0 is a localized string
ConfirmMessage, "확인: {0}", generic confirmation message printed *usually* at the top of the page. The argument #0 is a localized string
