Cp1252
,, This file has a single-column lookup key
,,
,, AWMessagesList
,,
ErrorMessage, "Errore: {0}", generic error message printed *usually* at the top of the page. The argument #0 is a localized string
AlertMessage, "Avviso: {0}", generic warning message printed *usually* at the top of the page. The argument #0 is a localized string
ConfirmMessage, "Conferma: {0}", generic confirmation message printed *usually* at the top of the page. The argument #0 is a localized string
