Shift_JIS
,, This file has a single-column lookup key
,,
,, AWMessagesList
,,
ErrorMessage, "エラー: {0}", generic error message printed *usually* at the top of the page. The argument #0 is a localized string
AlertMessage, "注意: {0}", generic warning message printed *usually* at the top of the page. The argument #0 is a localized string
ConfirmMessage, "確認: {0}", generic confirmation message printed *usually* at the top of the page. The argument #0 is a localized string
