Cp1252,,,,
"AWBaseRequest",1,"Uploaded %s KB of %s KB...","Lastet opp %s KB av %s KB...","Appears in file upload panel"
"AWComponentActionRequestHandler",1,"Waiting for previous request to complete ...","Venter på at forrige forespørsel skal fullføres...","Appears in page loading status panel"
"AWComponentActionRequestHandler",2,"Processing request ...","Behandler forespørsel...","Appears in page loading status panel"
"AWErrorInfo",1,"Unknown Error","Ukjent feil",""
"AWLazyDivInternals",a001,"Loading...","Laster inn...",""
"AWXBasicScriptFunctions",1,"Please enable window popup for this site to use this function.","Aktiver popup-vindu for denne nettsiden for å bruke denne funksjonen.",""
"AWComponentReference",1,"An error has occurred while processing your request. Refresh the page and try again.","En feil oppstod under behandling av forespørselen. Oppdater siden og prøv igjen.",""
