8859_1,,,,
"AWXBasicScriptFunctions",1,"Please enable window popup for this site to use this function.","Please enable window popup for this site to use this function.",""
"AWBaseRequest",1,"Uploaded %s KB of %s KB...","Uploaded %s KB of %s KB...","Appears in file upload panel"
"AWComponentActionRequestHandler",1,"Waiting for previous request to complete ...","Waiting for previous request to complete ...","Appears in page loading status panel"
"AWComponentActionRequestHandler",2,"Processing request ...","Processing request ...","Appears in page loading status panel"
"AWLazyDivInternals",a001,"Loading...","Loading...",""
