Cp1252
"Application",a001,"Home","Accueil",""
"Application",a002,"Data Tables","Tableaux de données",""
"Application",a003,"Welcome to AribaWeb!","Bienvenue dans AribaWeb !",""
"Application",a004,"Actions","Actions",""
"Application",a005,"Documentation","Documentation",""
"Application",a006,"Pivot Tables","Tableaux dynamiques",""
"Application",a007,"Forms","Formulaires",""
"Application",a008,"Mini App","Mini application",""
"Application",a009,"Favorites","Favoris",""
"HomeContent",a001,"<b><a href=""http://aribaweb.org"" target=""_blank"">AribaWeb</a> is the Open Source component-based web application development framework for creating rich, AJAX-enabled applications with the absolute minimum of code (and no hand-coded Javascript).</b> The AW distribution includes both the (relatively) low-level core rendering and request handling framework (ariba.aribaweb) as well as a higher level library of ui components (ariba.widgets, ariba.metaui, ...)","<b><a href=""http://aribaweb.org"" target=""_blank"">AribaWeb</a> est une structure de développement d'applications Web basée sur des composants en code source libre, pour la création, avec le strict minimum de code (et aucune saisie manuelle de code Javascript), d'applications compatibles AJAX.</b> La distribution de AribaWeb comprend à la fois la structure de rendu principale de (relativement) bas niveau et la structure de gestion des demandes (ariba.aribaweb), plus une bibliothèque de composants d'interface utilisateur de niveau supérieur (ariba.widgets, ariba.metaui, etc.)",""
"HomeContent",a002,"The Demo Application","Application de démonstration",""
"HomeContent",a003,"This application shows off some of AW's bundled widgets. Click across the tabs at the top and explore <b>{0}Data Tables{/0}</b>, <b>{1}Pivot Tables{/1}</b>, <b>{2}Data Forms{/2}</b> (of both the template-specified and meta-data derived varieties), and a more complex <b>{3}Mini App{/3}</b> (simulated Expense Report editor) that pulls some of this together.","Cette application présente certains des éléments fournis avec AribaWeb. Cliquez sur les différents onglets pour découvrir les <b>{0}tableaux de données{/0}</b>, les <b>{1}tableaux dynamiques{/1}</b>, les <b>{2}formulaires de données{/2}</b> (comprenant à la fois les types dérivés des métadonnées et ceux spécifiés par des modèles), et une <b>{3}mini application{/3}</b> plus complexe (simulation d''éditeur de rapport sur les frais) qui met en oeuvre certains de ces éléments.",""
"HomeContent",a004,"Try selecting <b>Component Inspector</b> from the <b>AW Options</b> link above...","Sélectionnez <b>Afficher Component Inspector</b> à partir du lien <b>Options AW</b> ci-dessus...",""
"HomeContent",a005,"<h2>Source Search</h2> Check out the <b>{0}Documentation{/0}</b> tab for to search or browse the AribaWeb documentation and source code.","<h2>Recherche dans le code source</h2> Utilisez l''onglet <b>{0}Documentation{/0}</b> pour rechercher ou parcourir la documentation et le code source AribaWeb.",""
"Toc",a001,"Browse","Parcourir",""
"Toc",a002,"Documentation","Documentation",""
"Toc",a003,"Component Inspector","Component Inspector",""
"Toc",a004,"Gallery","Galerie",""
"Toc",a005,"Data Tables","Tableaux de données",""
"Toc",a006,"Pivot Tables","Tableaux dynamiques",""
"Toc",a007,"Forms (MetaUI)","Formulaires (MétaIU)",""
"Toc",a008,"File Upload","Téléchargement de fichiers",""
"Toc",a009,"Fun","Divertissement",""
"Toc",a010,"Master Detail app","Application Maître/Détail",""
"Toc",a011,"YouTube Browser","Navigateur YouTube",""
"Toc",a012,"Charts","Graphiques",""
"Toc",a013,"Maps","Cartes",""
"Toc",a014,"Mail Reader","Messagerie",""
"Toc",a015,"Map Race","Carte de la course",""
"Toc",a016,"Tests","Tests",""
"Toc",a017,"Refresh Region Test","Test Refresh Region",""
