aribaweb_html, "Отслеживание вывода HTML-источника"
aribaweb_errorManager, "Отслеживание диспетчера ошибок"
asmMaster,"Основные данные ASM"
asmMaster.punchout,"ASM Punchout"
asmMaster.asm,"ASM"
asmMaster.loaderDetails, "Сведения об ASM Loader"
asmMaster.discovery, "Трассировка Ariba Discovery"
audit, "Действия администратора по аудиту, изменившие систему"
auth, "Запросы проверки подлинности"
autoCalc, "Отслеживание авторасчетов для полей Workforce"
awf, "Формирование HTML и внутренняя работа веб-системы Ariba"
axDecodingInfo, "Общие сведения о декодировании XML"
axDecodingProtocolTrace, "Отслеживание протокола декодирования XML AXDecoding"
axDecodingTrace, "Отслеживание декодирования XML"
back, "Сообщения отслеживания последней страницы"
backplane.pq, "Сообщения постоянной очереди"
backplane.memcached, "Сообщения клиентской RPC постоянной очереди"
bagdump, "Дамп каждой преобразованной позиции каталога во время импорта"
bagmetrics, "Показатели отладки для управления портфелем каталога (позицией каталога)"
base, "Общие сведения основного компонента"
bindings, "Сообщения для отслеживания связей HTML-страниц"
checkpoint, "Сообщения журнала для различных контрольных точек, используемых для синхронизации нескольких узлов"
checkpoint.amf.base, "Сообщения журнала для контрольных точек для компонентов обмена сообщениями"
checkpoint.base, "Сообщения журнала для контрольных точек для базового компонента"
cXML, "Сообщения каналов cXML"
cXML.channel, "Сообщения каналов cXML"
cXML.configuration, "Сообщения конфигурации каналов cXML"
cXML.detail, "Сообщения XML каналов cXML"
cXML.document, "Сообщения трафика XML каналов cXML"
cXML.document.failed, "Сообщения трафика XML с ошибкам каналов cXML"
cXML.encoding, "Сообщения кодирования каналов cXML"
cXML.encodingParse, "Сообщения состояния кодирования каналов cXML"
cXML.transport, "Сообщения сетевого транспорта канала cXMLmessages"
cXML.soap, "Сообщения транспорта SOAP каналов cXML"
cXML.reliableDeliveryService, "Специальные сообщения службы надежной доставки канала cXML"
cache, "Различные сообщения от кэшей объектов"
catalogpublish, "сведения о публикации каталогов"
catalog, "Общие сведения о каталогах"
catalog.type, "Отслеживание управления типами каталогов"
catalogdeprecated, "Главная категория для категорий журнала устаревших каталогов"
catalogdeprecated.catalogCache, "Устаревшие - Действия с кэшем каталога"
catalogdeprecated.catalogSearch, "Устаревшие - Сведения о высокоуровневом поиске по каталогу"
catalogdistributedquery, "Отслеживание запросов, распределенных по каталогам"
cataloglow, "Низкоуровневое отслеживание каталогов"
catalogmetrics, "Поиск по каталогу и показатели загрузки"
catimages, "Изображения каталога"
catalogExtract, "Прогресс извлечения каталога"
catremote, "Отслеживание связи узел-узел в каталоге"
ccm, "Менеджер центральных подключений (для подключений к базе данных)"
cgi, "Сообщения отладки входа CGI"
channelIO, "Сообщения утилиты канала ввода-вывода"
channelTibcoMaster, "Все сообщения канала Tibco"
channelui, "Все сообщения, касающиеся пользовательского интерфейса администратора"
channelutil, "Сообщения утилиты каналов cXML"
choosers, "Сообщения всех элементов выбора и связанных контроллеров полей"
clientQuery, "Отслеживание запросов со стороны клиента"
clusterGets, "Вывод восстановления кластеров"
clusterLocks, "Вывод блокировки/разблокировки кластеров"
collaboration, "Отслеживание сотрудничества"
collaborationWF, "Отслеживание процесса сотрудничества"
commandline, "Регистрация отзывов о приложении командной строки"
comments, "Отслеживание комментариев к позициям"
commonObjectOperations, "Любые операции с общедоступными данными"
configure, "Запись действий средства настройки (настройка и формирование кода)"
connect, "Подключения и отключения клиентов"
constraints, "Сообщения, касающиеся ограничений"
controllers, "Сообщения, касающиеся контроллеров полей"
currency, "Сведения о валюте и деньгах"
customer, "Сообщения, которые касаются кода клиентов"
customization,"Сообщения, которые касаются настроек"
customization.ui, "Сообщения, которые касаются интерфейса настройки"
customization.user, "Сообщения, которые касаются настроек пользователей"
cxml, "Отслеживание CXML punchout"
cxmlbase, "Сообщения интеграции каналов cXML с Buyer"
cxmlbase.lifecycle, "Сообщения каналов cXML о жизненном цикле объектов"
cxmlbase.transaction, "Сообщения операций интеграции каналов cXML с Buyer"
cxmlinterop, "Основная категория ведения журнала для пакет взаимодействия с CXML"
cxmlinteropcommandline, "Устаревшая / не используемая категория ведения журнала"
cxmlinteropdump, "Категория для детальной отладки, которая сохраняет обработанные сообщения"
cxmlinterophistory, "Устаревшая / не используемая категория ведения журнала"
cxmlinteroplow, "Устаревшая / не используемая категория ведения журнала"
dashboard, "Сообщения панели инструментов"
data.repairer, "Сбор данных, связанных с задачами восстановления данных"
dbtop, "Высокоуровневые операции с базой данных"
demoshell, "Отслеживание в демонстрационной оболочке"
directAction, "Отслеживание прямых действий"
duplicate, "Дублирование объектов"
duplicateaml, "Дублирование свойств AML"
editability, "Отслеживание возможности редактирования полей"
email, "Отслеживание обмена электронными письмами"
encryptedString, "Отслеживание операций с зашифрованными строками и повторной шифровки сохраненных данных с помощью различных алгоритмов шифрования"
enumeration, "Сообщения, касающиеся нумераций"
