8859_1
,,
4807, "Worker Thread has been processing the same event for a very long time: {0} : No further information is available because Thread State Debugging has been disabled.", 0-thread
4803, "Class {0} does not extend {1}", 0-className 1-supposedSuperclassName
4846, "There are {0} events in the queue.\nEvent histogram = {1}\nFirst event of each type = {2}.", 0-Event count\ 1-Event Histogram 2-First event of each type
4876, "Application Initializer bootstrap error. Could not find the DTD cache for {0}",0-message
4877, "Unable to read the DTD file from the local disk cache. {0}", 0-exception
4878, "Error while  caching DTD in runtime memory. {0}", 0-exception
4879, "System Id is corrupted.Version can not be null or empty string.Version: {0}", 0-versionname
4880, "Validation should be proper URI, unable to parse this one as URI.URI: {0}", 0-resource
4881, "System Id is corrupted.File name can not be determined.Filename got {0}", 0-Filename
4882, "Unable to fetch file from cache dir. Cache Growth disabled for {0}", 0-property
4883, "Unable to fetch file from cache dir. Insufficient permission for mkdir of {0}", 0-directory
4998, "Error loading class {0}: {1}", 0-className 1-Error
5245, "Unable to get application version checksum: {0}", 0-message
5411, "Initialization complete : {0} Elapsed time: {1} seconds ({2})", 0-event 1-seconds 2-nodeName
6609, "loadHashtable for {0} failed because this file does not exist", 0-file
6658, "Required parameter {0} is not specified", 0-parameter name
6725, "Security Exception reading the property '{0}': {1}", 0-property name 1-exception message
6781, "Restarting Group",
6782, "Joining running group",
6853, "For performance reasons, DatabaseLogger does not support Debug severity logging.  Please correct your Logging configuration.",
7012, "{0} contains duplicate key entries with key {1}. Using entry on line {2}. Please remove the redundant entry.", 0-csv file 1-key 2-line number
7030, "CompareChecksums - sizes do not match: local checksum size is {0}, while remote checksum size is {1}", 0-myChecksumsSize 1-otherChecksumsSize
7031, "CompareChecksums - names differ:  local checksum name is {0}, while remote checksum name is {1}", 0-myElemName 1-otherElemName
7032, "CompareChecksums - values differ for {0}, local checksum is {1}, while remote checksum is {2}", 0-name 1-myChecksum 2-otherChecksum
7036, "EarlyCompareChecksums - no remote checksums found in cluster",
7037, "EarlyCompareChecksums - component {0} has checksum mismatch",
7320, "Invalid Reference {0}", 0-class
7538, "IOException during IOException in ASM Status Check: {0}", 0-exception message
7600, "LogPrinterWriter got {0}. Will retry with {1}", 0-exception message 1-encoding to retry
7611, "LogPrinterWriter cannot be created with the last attempt using system default encoding {0}. Returning null", 0-system default encoding
7618, "Ignore attempt to set {0} to {1} because {0} already exists as {2}",  0-field 1-new value 2-current value
7619, "AlogAppender.mapToCategory Cannot find the message category {0} from {1}", 0-category 1-log class name
7650, "The category {0} is not an instance of LogMessageCategoryForLog4j. You will not be able to enable the logging dynamically.", 0-name of Log message category to map to  log4j logger
7651, "Logger {0} is unregistered--no description or PrivateLoggers entry.", 0-logger name
7801, "List content changed while performing ListUtil.listEquals()",
8076, "Caught an exception while processing XML: {0}\n{1}", 0-error text 1-stack trace
8077, "XMLProcessor failed while processing {0}", 0-filename
8080, "XML parsing error at line {0} of {1}: {2}\n{3}", 0-line number 1-url 2-error message 3-stack trace
8379, "Exception during reading line {0} of {1}, perhaps the wrong encoding is used to read the resource", 0-line number 1-location
8418, "safeWriteObject: the file {0} is not writable", 0-file name
8498, "Attempted to delete file ''{0}'' but could not; there is perhaps an existing unclosed stream on this file; scheduling this file for deletion upon server shutdown", 0-file name
8499, "Could not rename file ''{0}'' to ''{1}''", 0-source file 1-target file
8508, "Attempted to delete file ''{0}'' but could not; there is perhaps an existing unclosed stream on this file", 0-file name
8510, "Caught exception trying to close input stream: {0}", 0-exception
8511, "Cannot find resource with id ''{0}'' in string table ''{1}''", 0-resource/message ID 1-stringTable name
8512, "Caught exception trying to close output stream: {0}", 0-exception
8515, "Could not rename file ''{0}'' to ''{1}''; attempting to back up file from ''{2}''", 0-from file 1-to file 2-backup file
8777, "{0} messages are not allowed for the Audit Logger, original message: ''{1}''", 0-log level 1-original debug message
8778, "Audit appenders do not process Strings, string: ''{0}''", 0-string message
8779, "Audit appenders do not process {0} classes", 0-class name
8780, "Error committing transaction to database, AuditLoggerMessage is {0}, stack trace: {1}", 0-auditLoggerMessage 1-stack trace
8785, "AuditLogger: Too many arguments specified, all but the first {0} elements are ignored in this array: {1}", 0-number not ignored 1-args array
8786, "Cannot set DEBUG level for audit logger {0}, use INFO level instead", 0-audit logger name
8787, "Unexpected exception logging message id {0} for logger {1}, stack trace: {2}", 0-messageId 1-logger name 2-stacktrace
8797, "Problem sending notification message for audit logger message id {0}, messageId: {1}, mesage: {2}, stackTrace: {3}", 0-id 1-messageId 2-message 3-stacktrace
